v_mps,a_deg,b_m,chi,mu,U_max,step_of_Umax,contact_len_s,max_overlap_m,UW_max
0.5,-46.0,0.0,4.0,0.47,0.0793052391380405,202600.0,0.00049,3.322698113379999e-05,0.2373752216285563
0.5,-50.0,0.0,4.0,0.47,0.0472900757093004,203200.0,0.0004799999999999,2.360331057902829e-05,0.1450086018563035
0.5,-82.0,0.0,4.0,0.47,0.0,130400.0,0.0003799999999999,3.7405450377184235e-05,0.3000229689721804
0.5,-90.0,0.0,4.0,0.47,0.0,48200.0,0.0003799999999999,3.7309059459179894e-05,0.2862662025326696
0.5,-58.0,0.0,4.0,0.47,0.0057696867085921,200500.0,0.00013,5.955261649044641e-06,0.0177986259159602
0.5,-66.0,0.0,4.0,0.47,0.0037507872341602,200200.0,0.0001,5.8504455995554705e-06,0.0106440768066515
0.5,-54.0,0.0,4.0,0.47,0.0092052670283296,200800.0,0.0001899999999999,7.976135820833563e-06,0.0284287410098623
0.5,-74.0,0.0,4.0,0.47,0.0,201700.0,0.0003799999999999,3.8002728073409375e-05,0.3145700141172702
0.5,-70.0,0.0,4.0,0.47,0.0035431059549577,200200.0,8.999999999999999e-05,5.855390287797663e-06,0.0088826627651951
0.5,-86.0,0.0,4.0,0.47,0.0,90600.0,0.0003799999999999,3.731685057336426e-05,0.2929177428646803
0.5,-62.0,0.0,4.0,0.47,0.004410860492474,200400.0,0.0001099999999999,5.889939552344153e-06,0.0135697198702935
0.5,-78.0,0.0,4.0,0.47,0.0,167400.0,0.0003799999999999,3.7727180501483104e-05,0.3070666301869251
0.5,-42.0,0.0,4.0,0.47,0.0855534608918564,202500.0,0.00049,3.4900887590848945e-05,0.2522739361916893
0.5,-38.0,0.0,4.0,0.47,0.091112859141695,202600.0,0.00049,3.6376126786363816e-05,0.2654454603830529
0.5,-34.0,0.0,4.0,0.47,0.0969506802684081,202600.0,0.0005,3.789877224540453e-05,0.2787210366770294
0.5,-30.0,0.0,4.0,0.47,0.1024185629983963,202600.0,0.00049,3.925175757589494e-05,0.2910587657988642
0.5,-26.0,0.0,4.0,0.47,0.1074307372249316,202600.0,0.00049,4.049736825093714e-05,0.3023296227727744
0.5,-22.0,0.0,4.0,0.47,0.1119743850356992,202600.0,0.0004799999999999,4.1620612129172896e-05,0.3125089125453136
0.5,-18.0,0.0,4.0,0.47,0.1159390924243035,202600.0,0.00049,4.2558334163101535e-05,0.3213689964926906
0.5,-14.0,0.0,4.0,0.47,0.1192286650530223,202600.0,0.0005,4.337005693605747e-05,0.3287058056708349
0.5,-10.0,0.0,4.0,0.47,0.1217643130506068,202600.0,0.0005,4.396399221294825e-05,0.3343521855242908
0.5,-6.0,0.0,4.0,0.47,0.1234870687898352,202600.0,0.0005,4.437736978872911e-05,0.338186149699882
0.5,-2.0,0.0,4.0,0.47,0.1243579609040263,202600.0,0.0004799999999999,4.456098262597269e-05,0.3401230221470395
0.5,2.0,0.0,4.0,0.47,0.1243579609040263,202600.0,0.0004799999999999,4.456098262597269e-05,0.3401230221470395
0.5,6.0,0.0,4.0,0.47,0.1234870687898352,202600.0,0.0005,4.437736978872911e-05,0.338186149699882
0.5,10.0,0.0,4.0,0.47,0.1217643130506068,202600.0,0.0005,4.396399221294825e-05,0.3343521855242908
0.5,14.0,0.0,4.0,0.47,0.1192286650530223,202600.0,0.0005,4.337005693605747e-05,0.3287058056708349
0.5,18.0,0.0,4.0,0.47,0.1159390924243035,202600.0,0.00049,4.2558334163101535e-05,0.3213689964926906
0.5,22.0,0.0,4.0,0.47,0.1119743850356992,202600.0,0.0004799999999999,4.1620612129172896e-05,0.3125089125453136
0.5,26.0,0.0,4.0,0.47,0.1074307372249316,202600.0,0.00049,4.049736825093714e-05,0.3023296227727744
0.5,30.0,0.0,4.0,0.47,0.1024185629983963,202600.0,0.00049,3.925175757589494e-05,0.2910587657988642
0.5,34.0,0.0,4.0,0.47,0.0969506802684081,202600.0,0.0005,3.789877224540453e-05,0.2787210366770294
0.5,38.0,0.0,4.0,0.47,0.091112859141695,202600.0,0.00049,3.6376126786363816e-05,0.2654454603830529
0.5,42.0,0.0,4.0,0.47,0.0855534608918564,202500.0,0.00049,3.4900887590848945e-05,0.2522739361916893
0.5,46.0,0.0,4.0,0.47,0.0793052391380405,202600.0,0.00049,3.322698113379999e-05,0.2373752216285563
0.5,50.0,0.0,4.0,0.47,0.0472900757093004,203200.0,0.0004799999999999,2.360331057902829e-05,0.1450086018563035
0.5,54.0,0.0,4.0,0.47,0.0092052670283296,200800.0,0.0001899999999999,7.976135820833563e-06,0.0284287410098623
0.5,58.0,0.0,4.0,0.47,0.0057696867085921,200500.0,0.00013,5.955261649044641e-06,0.0177986259159602
0.5,62.0,0.0,4.0,0.47,0.004410860492474,200400.0,0.0001099999999999,5.889939552344153e-06,0.0135697198702935
0.5,66.0,0.0,4.0,0.47,0.0037507872341602,200200.0,0.0001,5.8504455995554705e-06,0.0106440768066515
0.5,70.0,0.0,4.0,0.47,0.0035431059549577,200200.0,8.999999999999999e-05,5.855390287797663e-06,0.0088826627651951
0.5,74.0,0.0,4.0,0.47,0.0,201700.0,0.0003799999999999,3.8002728073409375e-05,0.3145700141172702
0.5,78.0,0.0,4.0,0.47,0.0,167400.0,0.0003799999999999,3.7727180501483104e-05,0.3070666301869251
0.5,82.0,0.0,4.0,0.47,0.0,130400.0,0.0003799999999999,3.7405450377184235e-05,0.3000229689721804
